Category,Year,Total,Male,Female
Electricity consumed (kWh),2000,535335000.00,,
Electricity consumed (kWh),2001,553920000.00,,
Electricity consumed (kWh),2002,574726000.00,,
Electricity consumed (kWh),2003,590032000.00,,
Electricity consumed (kWh),2004,594998000.00,,
Electricity consumed (kWh),2005,616654000.00,,
Electricity consumed (kWh),2006,631366000.00,,
Electricity consumed (kWh),2007,643821000.00,,
Electricity consumed (kWh),2008,644954000.00,,
Electricity consumed (kWh),2009,656083000.00,,
Electricity consumed (kWh),2010,650571000.00,,
Electricity consumed (kWh),2011,636517000.00,,
Residential electricity consumed (kWh),1993,181466000.00,,
Residential electricity consumed (kWh),1994,188151000.00,,
Residential electricity consumed (kWh),1995,193666000.00,,
Residential electricity consumed (kWh),1996,201093000.00,,
Residential electricity consumed (kWh),1997,203712000.00,,
Residential electricity consumed (kWh),1998,214370000.00,,
Residential electricity consumed (kWh),1999,218645000.00,,
Residential electricity consumed (kWh),2000,226742000.00,,
Residential electricity consumed (kWh),2001,237590000.00,,
Residential electricity consumed (kWh),2002,241509000.00,,
Residential electricity consumed (kWh),2003,251386000.00,,
Residential electricity consumed (kWh),2004,257903000.00,,
Residential electricity consumed (kWh),2005,268919000.00,,
Residential electricity consumed (kWh),2006,271215000.00,,
Residential electricity consumed (kWh),2007,275677000.00,,
Residential electricity consumed (kWh),2008,268563000.00,,
Residential electricity consumed (kWh),2009,271682000.00,,
Residential electricity consumed (kWh),2010,276824000.00,,
Residential electricity consumed (kWh),2011,265243000.00,,
Commercial electricity consumed (kWh),1993,245277000.00,,
Commercial electricity consumed (kWh),1994,252398000.00,,
Commercial electricity consumed (kWh),1995,249485000.00,,
Commercial electricity consumed (kWh),1996,243116000.00,,
Commercial electricity consumed (kWh),1997,244410000.00,,
Commercial electricity consumed (kWh),1998,254440000.00,,
Commercial electricity consumed (kWh),1999,264058000.00,,
Commercial electricity consumed (kWh),2000,267871000.00,,
Commercial electricity consumed (kWh),2001,276044000.00,,
Commercial electricity consumed (kWh),2002,290542000.00,,
Commercial electricity consumed (kWh),2003,285386000.00,,
Commercial electricity consumed (kWh),2004,293863000.00,,
Commercial electricity consumed (kWh),2005,302609000.00,,
Commercial electricity consumed (kWh),2006,311408000.00,,
Commercial electricity consumed (kWh),2007,319277000.00,,
Commercial electricity consumed (kWh),2008,319018000.00,,
Commercial electricity consumed (kWh),2009,326728000.00,,
Commercial electricity consumed (kWh),2010,320527000.00,,
Commercial electricity consumed (kWh),2011,316356000.00,,
Residential electricity price per week,1991,21.31,,
Residential electricity price per week,1993,20.37,,
Residential electricity price per week,1994,20.73,,
Residential electricity price per week,1995,21.21,,
Residential electricity price per week,1996,21.67,,
Residential electricity price per week,1997,22.43,,
Residential electricity price per week,1998,21.47,,
Residential electricity price per week,1999,21.46,,
Residential electricity price per week,2000,23.28,,
Residential electricity price per week,2001,23.39,,
Residential electricity price per week,2002,22.79,,
Residential electricity price per week,2003,23.90,,
Residential electricity price per week,2004,24.48,,
Residential electricity price per week,2005,26.47,,
Residential electricity price per week,2006,29.10,,
Residential electricity price per week,2007,30.43,,
Residential electricity price per week,2008,39.35,,
Residential electricity price per week,2009,36.82,,
Residential electricity price per week,2010,37.95,,
Residential electricity price per week,2011,41.23,,
Commercial electricity price per week,1991,23.44,,
Commercial electricity price per week,1993,22.35,,
Commercial electricity price per week,1994,20.26,,
Commercial electricity price per week,1995,21.38,,
Commercial electricity price per week,1996,21.50,,
Commercial electricity price per week,1997,21.82,,
Commercial electricity price per week,1998,20.91,,
Commercial electricity price per week,1999,20.99,,
Commercial electricity price per week,2000,22.45,,
Commercial electricity price per week,2001,22.57,,
Commercial electricity price per week,2002,21.70,,
Commercial electricity price per week,2003,23.14,,
Commercial electricity price per week,2004,23.77,,
Commercial electricity price per week,2005,25.43,,
Commercial electricity price per week,2006,27.51,,
Commercial electricity price per week,2007,27.75,,
Commercial electricity price per week,2008,34.75,,
Commercial electricity price per week,2009,31.31,,
Commercial electricity price per week,2010,37.09,,
Commercial electricity price per week,2011,39.92,,
Emergency Incidents Attended,2002,1321.00,,
Emergency Incidents Attended,2003,1620.00,,
Emergency Incidents Attended,2004,1536.00,,
Emergency Incidents Attended,2005,1648.00,,
Emergency Incidents Attended,2006,1418.00,,
Emergency Incidents Attended,2007,1530.00,,
Emergency Incidents Attended,2008,1457.00,,
Emergency Incidents Attended,2009,1321.00,,
Emergency Incidents Attended,2010,1070.00,,
Fires,1993,462.00,,
Fires,1994,327.00,,
Fires,1995,455.00,,
Fires,1996,395.00,,
Fires,1997,422.00,,
Fires,1998,326.00,,
Fires,1999,456.00,,
Fires,2000,711.00,,
Fires,2001,715.00,,
Fires,2002,1125.00,,
Fires,2003,967.00,,
Fires,2004,1452.00,,
Fires,2005,719.00,,
Fires,2006,0.00,,
Fires,2007,0.00,,
Fires,2008,0.00,,
Fires,2009,0.00,,
Fires,2010,0.00,,
Fires,2011,1836.00,,
