Company,Tax Haven Subsidiaries,Location of Tax Haven Subsidiaries,Amount Held Offshore ($ millions),Tax Rate Paid on Offshore Cash,Estimated U.S. Tax Bill on Offshore Cash,State Located
Las Vegas Sands,44,"Bermuda(1), Cayman Islands(21), Hong Kong(4), Macau(10), Mauritius(1), Netherlands(5), Singapore(2)",6070,,,Nevada
Lear,14,"Cayman Islands(2), Hong Kong(1), Luxembourg(5),Mauritius(2), Netherlands(3), Singapore(1)",1200,,,Michigan
Lennar,2,"Bermuda(1), Turks and Caicos(1)",,,,Florida
Leucadia National,4,"Hong Kong(3), Switzerland(1)",171,0.08,46,New York
Level 3 Communications,28,"Bermuda(3), Cayman Islands(2), Costa Rica(1), Hong Kong(3), Ireland(6), Luxembourg(3), Mauritius(1), Netherlands(5), Panama(1), Singapore(1), Switzerland(1), U.S. Virgin Islands(1)",,,,Colorado
Liberty Interactive,8,"Cayman Islands(1), Costa Rica(2), Hong Kong(2), Luxembourg(2), Netherlands(1)",,,,Colorado
LifePoint Health,1,,,,,Tennessee
Limited Brands,1,Cayman Islands(1),216,,,Ohio
Lincoln National,1,Barbados(1),,,,Pennsylvania
Live Nation Entertainment,49,"Cayman Islands(2), Hong Kong(4), Ireland(10), Isle of Man(3), Luxembourg(2), Netherlands(26), Singapore(2)",477,,,California
LKQ,,,266,,,Illinois
Lockheed Martin,,,291,0.16,55,Maryland
Loews,5,"Bermuda(3), Cayman Islands(1), Channel Islands(1)",2400,,,New York
Lowe's,,,112,,,North Carolina
Macy's,2,Hong Kong(2),,,,Ohio
Manpower,51,"Costa Rica(2), Cyprus(1), Hong Kong(5), Ireland(4), Luxembourg(4), Macau(1), Monaco(1), Netherlands(23), Panama(2), Singapore(4), Switzerland(4)",733,,,Wisconsin
Marathon Oil,63,"Bahamas(1), Barbados(1), Bermuda(2), Cayman Islands(43), Netherlands(15), Switzerland(1)",1019,,,Texas
Marathon Petroleum,2,Bermuda(2),,,,Ohio
Marriott International,79,"Anguilla(1), Aruba(1), Bahamas(1), Bahrain(1), Barbados(1), Bermuda(6), British Virgin Islands(7), Cayman Islands(10), Channel Islands(1), Costa Rica(1), Ireland(4), Jordan(2), Lebanon(1), Luxembourg(6), Malta(1), Netherlands(17), Panama(1), Singapore(4), St. Kitts and Nevis(2), St. Lucia(1), Switzerland(6), Turks and Caicos(1), U.S. Virgin Islands(3)",894,,,Maryland
Marsh & McLennan,117,"Aruba(1), Bahamas(1), Bahrain(1), Barbados(5), Bermuda(23), British Virgin Islands(1), Cayman Islands(2), Channel Islands(3), Cyprus(2), Hong Kong(10), Ireland(17), Isle of Man(4), Jordan(1), Liechtenstein(1), Luxembourg(7), Macau(1), Malta(2), Mauritius(1), Netherlands(14), Panama(2), Singapore(9), Switzerland(9)",6300,,,New York
Masco,13,"Bahamas(1), Cyprus(1), Hong Kong(1), Luxembourg(3), Netherlands(3), Singapore(2), Switzerland(2)",12,,,Michigan
MasterCard,5,"Netherlands(1), Singapore(4)",3300,,,New York
Mattel,9,"Bermuda(2), Hong Kong(1), Netherlands(5), Singapore(1)",6400,,,California
McDonald's,11,"Hong Kong(1), Luxembourg(3), Netherlands(1), Singapore(2), Switzerland(4)",15400,,,Illinois
McGraw-Hill,16,"Cayman Islands(1), Hong Kong(2), Ireland(1), Luxembourg(4), Singapore(7), Switzerland(1)",1239,,,New York
McKesson,3,"Bermuda(2), Ireland(1)",4916,,,California
MeadWestvaco,3,"Luxembourg(2), Netherlands(1)",1360,,,Virginia
Merck,121,"Bermuda(10), Cayman Islands(1), Costa Rica(2), Cyprus(3), Hong Kong(3), Ireland(25), Lebanon(1), Luxembourg(1), Netherlands(42), Panama(5), Singapore(9), Switzerland(19)",60000,,,New Jersey
MetLife,31,"Bermuda(1), Cayman Islands(8), Cyprus(3), Hong Kong(4), Ireland(9), Singapore(3), Switzerland(2), U.S. Virgin Islands(1)",4200,,,New York
MGM Resorts international,13,"Cayman Islands(1), Hong Kong(7), Isle of Man(3), Macau(1), Singapore(1)",,,,Nevada
Micron Technology,2,"Netherlands(1), Singapore(1)",4910,,,Idaho
Microsoft,5,"Ireland(3), Luxembourg(1), Singapore(1)",108300,0.03,34500,Washington
Mohawk Industries,28,"Barbados(1), Hong Kong(2), Ireland(2), Luxembourg(12), Netherlands(7), Singapore(2), Switzerland(2)",1385,,,Georgia
Mondel?z International,82,"Bahamas(1), Bahrain(2), Costa Rica(2), Cyprus(1), Hong Kong(2), Ireland(15), Lebanon(2), Luxembourg(3), Mauritius(1), Netherlands(27), Panama(1), Singapore(10), Switzerland(15)",13200,,,Illinois
Monsanto,6,"British Virgin Islands(1), Luxembourg(1), Netherlands(3), Switzerland(1)",4400,,,Missouri
Morgan Stanley,210,"Bermuda(4), Cayman Islands(100), Channel Islands(10), Cyprus(2), Gibraltar(3), Hong Kong(12), Ireland(6), Luxembourg(36), Malta(1), Mauritius(5), Netherlands(21), Singapore(8), Switzerland(2)",7364,0.24,841,New York
Mosaic,8,"Bahamas(1), Luxembourg(3), Netherlands(4)",2200,,,Minnesota
Motorola Solutions,,,1500,,,Illinois
MRC Global,8,"British Virgin Islands(2), Hong Kong(1), Netherlands(3), Singapore(2)",231,,,Texas
Murphy Oil,24,"Bahamas(23), Singapore(1)",6045,0.24,684,Arkansas
National oilwell Varco,76,"Aruba(1), Bahrain(1), Barbados(2), Bermuda(1), British Virgin Islands(2), Cayman Islands(7), Channel Islands(1), Cyprus(1), Mauritius(2), Netherlands(38), Netherlands Antilles(1), Singapore(18), Switzerland(1)",5874,,,Texas
Navistar International,1,Cayman Islands(1),469,,,Illinois
NCR,36,"Bahrain(2), Bermuda(6), Cayman Islands(1), Cyprus(4), Hong Kong(1), Ireland(4), Luxembourg(6), Macau(1), Netherlands(5), Panama(1), Singapore(3), Switzerland(2)",2100,,,Georgia
NetApp,14,"Bermuda(2), Cyprus(1), Hong Kong(2), Ireland(1), Luxembourg(1), Netherlands(5), Singapore(1), Switzerland(1)",3300,0.05,1000,California
Netflix,1,Luxembourg(1),29,0,10,California
Newell Rubbermaid,11,"Cayman Islands(3), Hong Kong(1), Luxembourg(3), Netherlands(3), Switzerland(1)",602,,,Georgia
Newmont Mining,18,"Bermuda(3), Channel Islands(1), Cyprus(2), Liberia(1), Netherlands(9), Switzerland(2)",,,,Colorado
News Corp.,23,"Cayman Islands(3), Hong Kong(6), Ireland(2), Luxembourg(4), Netherlands(3), Singapore(2), Switzerland(3)",3500,,,New York
NextEra Energy,1,Cayman Islands(1),,,,Florida
Nike,52,"Bermuda(3), Hong Kong(8), Netherlands(36), Panama(1), Singapore(3), Switzerland(1)",8300,0.025,2700,Oregon
Norfolk Southern,1,Bermuda(1),,,,Virginia
NRG Energy,24,"Bermuda(1), British Virgin Islands(2), Cayman Islands(5), Channel Islands(1), Hong Kong(1), Luxembourg(2), Netherlands(10), Netherlands Antilles(1), Switzerland(1)",,,,New Jersey
Nucor,,,194,,,North Carolina
Occidental Petroleum,80,"Bermuda(59), Cayman Islands(9), Hong Kong(1), Liberia(1), Malta(1), Netherlands(4), Panama(1), Singapore(2), Switzerland(2)",9900,0.34,140,Texas
Office Depot,26,"Bermuda(2), Cayman Islands(1), Hong Kong(2), Ireland(3), Luxembourg(3), Netherlands(13), Switzerland(2)",416,,,Florida
Old Republic International,6,"Bermuda(5), Cayman Islands(1)",,,,Illinois
Omnicom Group,2,"Hong Kong(1), Singapore(1)",1800,,,New York
Oracle,5,Ireland(5),38000,0.04,11800,California
Oshkosh,15,"Cayman Islands(1), Hong Kong(1), Mauritius(1), Netherlands(11), Singapore(1)",181,,,Wisconsin
Owens & Minor,12,"Channel Islands(1), Hong Kong(1), Ireland(6), Netherlands(3), Switzerland(1)",32,,,Virginia
Owens Corning,17,"Cayman Islands(2), Hong Kong(1), Netherlands(13), Singapore(1)",1400,-0.02,511,Ohio
Owens-Illinois,17,"Bermuda(1), Hong Kong(5), Luxembourg(1), Mauritius(1), Netherlands(7), Singapore(1), Switzerland(1)",2900,,,Ohio
Paccar,6,Netherlands(6),4100,0.25,400,Washington
Packaging Corp. of America,5,"Hong Kong(2), Luxembourg(2), Netherlands(1)",,,,Illinois
Parker Hannifin,26,"Bermuda(3), Gibraltar(2), Hong Kong(1), Luxembourg(10), Netherlands(6), Singapore(2), Switzerland(2)",3000,,,Ohio
Peabody Energy,17,"Bermuda(1), British Virgin Islands(1), Gibraltar(6), Luxembourg(1), Netherlands(6), Singapore(2)",,,,Missouri
Penske Automotive Group,,,711,,,Michigan
PepsiCo,132,"Barbados(1), Bermuda(15), Cayman Islands(6), Costa Rica(2), Cyprus(13), Gibraltar(3), Hong Kong(9), Ireland(12), Jordan(1), Liechtenstein(1), Luxembourg(26), Mauritius(2), Netherlands(32), Panama(1), Singapore(2), Switzerland(6)",37800,,,New York
Pfizer,151,"Cayman Islands(1), Channel Islands(8), Costa Rica(3), Hong Kong(8), Ireland(27), Luxembourg(38), Netherlands(52), Panama(4), Singapore(5), Switzerland(5)",74000,,,New York
Philip Morris International,9,"Netherlands(3), Switzerland(6)",,,,New York
Phillips,17,"Bermuda(4), Cayman Islands(7), Ireland(4), Singapore(1), Switzerland(1)",2000,,,Texas
Phillips-Van Heusen,43,"Barbados(1), British Virgin Islands(4), Cyprus(1), Hong Kong(8), Ireland(3), Luxembourg(1), Macau(1), Netherlands(19), Netherlands Antilles(1), Singapore(1), Switzerland(3)",389,,,New York
Pioneer Natural Resources,5,"Bahamas(1), Cayman Islands(4)",,,,Texas
Plains GP Holdings,2,Luxembourg(2),,,,Texas
PNC Financial Services Group,,,77,0.04,24,Pennsylvania
Polo Ralph Lauren,5,"Hong Kong(1), Netherlands(3), Switzerland(1)",2515,,,New York
PPG Industries,20,"Bermuda(1), Hong Kong(2), Ireland(1), Luxembourg(2), Netherlands(10), Singapore(2), Switzerland(2)",5000,0.31,200,Pennsylvania
PPL,,,3700,,,Pennsylvania
Praxair,20,"Bahrain(1), Costa Rica(1), Ireland(3), Luxembourg(4), Mauritius(1), Netherlands(3), Panama(1), Singapore(4), Switzerland(2)",10400,,,Connecticut
Precision Castparts,15,"Bermuda(1), Cayman Islands(2), Hong Kong(4), Ireland(1), Luxembourg(4), Singapore(3)",1482,,,Oregon
Priceline.com,5,"Mauritius(1), Netherlands(3), Singapore(1)",7300,,,Connecticut
Principal Financial,20,"Cayman Islands(3), Hong Kong(9), Ireland(1), Malta(4), Mauritius(1), Singapore(2)",825,,,Iowa
Procter & Gamble,38,"Costa Rica(1), Hong Kong(2), Ireland(1), Lebanon(1), Luxembourg(4), Netherlands(17), Panama(1), Singapore(4), Switzerland(7)",45000,,,Ohio
Prudential Financial,39,"Barbados(1), Bermuda(4), British Virgin Islands(2), Cayman Islands(13), Channel Islands(2), Hong Kong(2), Ireland(1), Luxembourg(11), Singapore(3)",2396,,,New Jersey
Qualcomm,3,Singapore(3),25700,0,9100,California
Quanta Services,7,"British Virgin Islands(3), Costa Rica(1), Luxembourg(1), Netherlands(1), Panama(1)",345,,,Texas
Quest Diagnostics,5,"Ireland(1), Luxembourg(3), Singapore(1)",,,,New Jersey
Quintiles,20,"Costa Rica(2), Hong Kong(1), Ireland(2), Luxembourg(4), Mauritius(2), Netherlands(3), Panama(1), Singapore(2), Switzerland(3)",,,,North Carolina
R.R. Donnelley & Sons,34,"Barbados(1), British Virgin Islands(4), Cayman Islands(3), Channel Islands(1), Costa Rica(1), Cyprus(1), Hong Kong(3), Ireland(4), Luxembourg(1), Mauritius(1), Netherlands(10), Singapore(2), St. Lucia(1), Switzerland(1)",,,,Illinois
Raytheon,,,384,,,Massachusetts
Realogy Holdings,7,"Bermuda(1), Hong Kong(3), Netherlands(1), Singapore(1), Switzerland(1)",,,,New Jersey
Reinsurance Group of America,10,"Barbados(4), Bermuda(2), Ireland(1), Netherlands(2), Singapore(1)",1115,,,Missouri
Reliance Steel & Aluminum,2,Singapore(2),216,,,California
Republic Services,1,Cayman Islands(1),,,,Arizona
Reynolds American,7,"Cayman Islands(1), Hong Kong(1), Netherlands(4), Switzerland(1)",25,,,North Carolina
Rock-Tenn,2,British Virgin Islands(2),240,0.31,9,Georgia
Rockwell Automation,5,"Ireland(1), Netherlands(1), Singapore(2), Switzerland(1)",2781,,,Wisconsin
Ryder System,14,"Bermuda(1), British Virgin Islands(1), Hong Kong(2), Mauritius(1), Netherlands(6), Singapore(3)",658,,,Florida
Safeway,4,"Bermuda(1), Hong Kong(1), Macau(1), U.S. Virgin Islands(1)",180,-0.01,65,California
Salesforce.com,10,"Hong Kong(1), Ireland(3), Luxembourg(1), Netherlands(1), Singapore(3), Switzerland(1)",,,,California
SanDisk,7,"Bermuda(1), Cayman Islands(1), Ireland(3), Netherlands(2)",969,,,California
Sanmina,15,"British Virgin Islands(2), Cayman Islands(1), Hong Kong(5), Ireland(2), Mauritius(1), Netherlands(1), Singapore(3)",544,,,California
Seaboard,32,"Bahamas(1), Bermuda(16), Cayman Islands(2), Costa Rica(1), Isle of Man(1), Liberia(2), Mauritius(6), Netherlands(1), Panama(1), Singapore(1)",1000,,,Kansas
Sealed Air,49,"Barbados(2), Cayman Islands(1), Costa Rica(2), Hong Kong(4), Ireland(4), Luxembourg(5), Netherlands(22), Singapore(2), Switzerland(7)",,,,North Carolina
Sears Holdings,1,Bermuda(1),,,,Illinois
Sempra Energy,2,Netherlands(2),3600,,,California
Sherwin-Williams,9,"Aruba(1), Belize(1), Cayman Islands(1), Hong Kong(1), Ireland(2), Luxembourg(2), Singapore(1)",4,0.2,1,Ohio
Sonic Automotive,1,Cayman Islands(1),,,,North Carolina
Southwest airlines,1,Bermuda(1),,,,Texas
Spectra Energy,2,Luxembourg(2),1800,,,Texas
Spirit AeroSystems Holdings,5,"Netherlands(4), Singapore(1)",,,,Kansas
St. Jude Medical,15,"Costa Rica(1), Hong Kong(1), Luxembourg(5), Netherlands(4), Singapore(2), Switzerland(2)",4200,,,Minnesota
Stanley Black & Decker,110,"British Virgin Islands(4), Cayman Islands(8), Costa Rica(1), Hong Kong(16), Ireland(23), Liechtenstein(1), Luxembourg(17), Macau(1), Mauritius(1), Netherlands(20), Panama(4), Singapore(8), Switzerland(6)",4773,,,Connecticut
Staples,35,"Bermuda(1), Cayman Islands(4), Cyprus(2), Hong Kong(3), Ireland(2), Luxembourg(2), Netherlands(19), Switzerland(2)",835,,,Massachusetts
Starbucks,20,"Cayman Islands(1), Costa Rica(1), Cyprus(1), Hong Kong(6), Luxembourg(1), Netherlands(6), Singapore(2), Switzerland(2)",2200,,,Washington
Starwood Hotels & Resorts,4,"Luxembourg(3), Singapore(1)",3500,,,Connecticut
State Street Corp.,4,"Cayman Islands(1), Ireland(1), Luxembourg(1), Switzerland(1)",4200,0.14,876,Massachusetts
Stryker,47,"Barbados(1), British Virgin Islands(1), Cayman Islands(1), Hong Kong(6), Ireland(7), Lebanon(1), Luxembourg(2), Mauritius(1), Netherlands(18), Panama(1), Singapore(1), Switzerland(7)",5878,,,Michigan
Supervalu,3,Bermuda(3),,,,Minnesota
Symantec,4,"Ireland(3), Singapore(1)",3600,0.07,1000,California
Synnex,4,"Bermuda(1), British Virgin Islands(1), Netherlands(2)",321,,,California
Sysco,30,"Bahamas(3), Bermuda(1), Cayman Islands (5), Costa Rica(6), Hong Kong(4), Ireland(6), Luxembourg(3), Netherlands(2)",1100,,,Texas
Target,1,Luxembourg(1),328,,,Minnesota
Tech Data,13,"Cayman Islands(2), Costa Rica(1), Ireland(1), Luxembourg(2), Netherlands(5), Switzerland(2)",500,,,Florida
Tenneco,7,"Hong Kong(1), Luxembourg(2), Mauritius(3), Netherlands(1)",737,0.19,121,Illinois
Terex,17,"Bermuda(1), British Virgin Islands(1), Cayman Islands(2), Ireland(2), Mauritius(1), Netherlands(6), Singapore(2), Switzerland(2)",800,,,Connecticut
Texas Instruments,13,"Hong Kong(5), Ireland(2), Luxembourg(2), Netherlands(2), Singapore(2)",7670,,,Texas
Textron,9,"Barbados(1), Bermuda(1), Netherlands(3), Singapore(3), Switzerland(1)",995,,,Rhode Island
Thermo Fisher Scientific,155,"Barbados(4), Bermuda(4), British Virgin Islands(1), Cayman Islands(12), Channel Islands(1), Costa Rica(1), Gibraltar(2), Hong Kong(12), Ireland(7), Luxembourg(24), Malta(6), Netherlands(53), Singapore(10), Switzerland(18)",8440,,,Massachusetts
Time Warner,8,"Netherlands(6), Singapore(1), Switzerland(1)",1100,,,New York
TJX,5,"Bermuda(2), Hong Kong(1), Ireland(1), Netherlands(1)",567,,,Massachusetts
"Toys ""R"" Us",14,"British Virgin Islands(7), Hong Kong(3), Netherlands(2), Singapore(1), Switzerland(1)",1,0.35,0,New Jersey
Travelers Cos.,2,"Bermuda(1), Singapore(1)",647,,,New York
Trinity Industries,2,Switzerland(2),,,,Texas
TRW Automotive Holdings,11,"Cayman Islands(1), Channel Islands(1), Luxembourg(2), Mauritius(1), Netherlands(4), Singapore(1), Switzerland(1)",3400,,,Michigan
Twenty-First Century Fox,2,Netherlands(2),975,,,New York
Tyson Foods,18,"Bermuda(2), British Virgin Islands(1), Cayman Islands(1), Hong Kong(3), Luxembourg(4), Mauritius(1), Netherlands(6)",403,,,Arkansas
U.S. Bancorp,10,"Cayman Islands(1), Hong Kong(1), Ireland(5), Netherlands(2), Singapore(1)",,,,Minnesota
UGI,4,"Luxembourg(1), Netherlands(2), Switzerland(1)",43,0.35,0,Pennsylvania
United Natural Foods,,,14,,,Rhode Island
United Parcel Service,3,"Netherlands(1), Singapore(1), U.S. Virgin Islands(1)",4683,,,Georgia
United Rentals,,,595,,,Connecticut
United States Steel,2,Netherlands(2),5,,,Pennsylvania
United Stationers,2,Hong Kong(2),,,,Illinois
United Technologies,28,"Cayman Islands(1), Gibraltar(1), Hong Kong(4), Ireland(2), Luxembourg(8), Netherlands(8), Singapore(1), Switzerland(3)",28000,,,Connecticut
UnitedHealth Group,17,"Bermuda(1), Cayman Islands(3), Hong Kong(1), Ireland(1), Luxembourg(6), Netherlands(4), Singapore(1)",391,,,Minnesota
Universal Health Services,,,10,-0.05,4,Pennsylvania
Unum Group,1,Ireland(1),1000,,,Tennessee
Valero Energy,15,"Aruba(5), British Virgin Islands(3), Cayman Islands(2), Ireland(2), Luxembourg(1), Netherlands(2)",2900,,,Texas
Verizon Communications,,,1300,,,New York
VF,25,"Cayman Islands(1), Gibraltar(2), Hong Kong(3), Luxembourg(12), Mauritius(1), Netherlands(1), Singapore(1), Switzerland(4)",3297,,,North Carolina
Viacom,39,"Bahamas(1), Barbados(1), Cayman Islands(7), Channel Islands(1), Hong Kong(2), Mauritius(1), Netherlands(24), Singapore(1), Switzerland(1)",2500,0.18,438,New York
Visa,1,Singapore(1),5000,,,California
Visteon,11,"Bermuda(2), British Virgin Islands(1), Hong Kong(4), Netherlands(4)",245,,,Michigan
Voya Financial,7,"Bermuda(2), Cayman Islands(1), Hong Kong(2), Ireland(1), Luxembourg(1)",,,,New York
W.R. Berkley,1,Bermuda(1),58,0.3,3,Connecticut
W.W. Grainger,21,"Costa Rica(1), Mauritius(1), Netherlands(15), Netherlands Antilles(1), Panama(2), Singapore(1)",464,,,Illinois
Wal-Mart Stores,75,"Barbados(1), British Virgin Islands(12), Cayman Islands(4), Cyprus(1), Gibraltar(1), Hong Kong(13), Ireland(1), Luxembourg(22), Mauritius(5), Netherlands(5), Panama(2), Singapore(4), Switzerland(4)",23300,,,Arkansas
Walgreens,14,"Bermuda(1), Cayman Islands(1), Hong Kong(1), Luxembourg(6), Mauritius(1), Switzerland(3), U.S. Virgin Islands(1)",,,,Illinois
Walt Disney,7,"Hong Kong(1), Luxembourg(2), Netherlands(3), Singapore(1)",1900,0.15,377,California
Waste Management,2,Hong Kong(2),750,,,Texas
WellCare Health Plans,1,Cayman Islands(1),,,,Florida
Wellpoint,3,Ireland(3),,,,Indiana
Wells Fargo,98,"Aruba(1), Bahamas(2), Barbados(1), Bermuda(5), British Virgin Islands(3), Cayman Islands(36), Costa Rica(1), Hong Kong(6), Ireland(4), Luxembourg(23), Mauritius(7), Netherlands(6), Singapore(3)",1800,0.06,513,California
WESCO International,11,"Hong Kong(1), Netherlands(8), Singapore(2)",597,,,Pennsylvania
Western Digital,17,"Bermuda(1), Cayman Islands(6), Hong Kong(2), Ireland(1), Netherlands(2), Singapore(5)",9400,0.02,3100,California
Western Union,44,"Barbados(1), Bermuda(14), Costa Rica(1), Hong Kong(2), Ireland(12), Luxembourg(4), Malta(3), Panama(2), Singapore(4), Switzerland(1)",7500,,,Colorado
Weyerhaeuser,5,"Barbados(2), British Virgin Islands(1), Hong Kong(2)",27,,,Washington
WhirlPool,37,"Bermuda(2), British Virgin Islands(1), Hong Kong(4), Ireland(3), Luxembourg(13), Mauritius(1), Netherlands(6), Netherlands Antilles(1), Singapore(2), Switzerland(4)",4900,,,Michigan
Williams,12,"Bermuda(1), Cayman Islands(8), Netherlands(3)",,,,Oklahoma
World Fuel Services,37,"Bahamas(1), British Virgin Islands(1), Cayman Islands(4), Costa Rica(8), Gibraltar(2), Hong Kong(1), Ireland(2), Luxembourg(2), Netherlands(10), Panama(2), Singapore(3), Switzerland(1)",1300,,,Florida
Wyndham Worldwide,1,Netherlands(1),,,,New Jersey
Wynn Resorts,14,"Cayman Islands(4), Hong Kong(1), Isle of Man(5), Macau(4)",412,0,144,Nevada
Xerox,51,"Barbados(4), Bermuda(8), Channel Islands(1), Cyprus(1), Hong Kong(3), Ireland(6), Luxembourg(3), Malta(1), Mauritius(1), Netherlands(15), Singapore(2), St. Lucia(1), Switzerland(4), Turks and Caicos(1)",8500,,,Connecticut
Yum Brands,70,"Bahrain(1), British Virgin Islands(2), Cayman Islands(2), Cyprus(1), Hong Kong(10), Luxembourg(33), Macau(1), Malta(6), Netherlands(6), Singapore(7), Switzerland(1)",2000,,,Kentucky
